"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202241,2022-10-16,1023,350.366,0.342488758553275,108.366,0.105929618768328,100,0.0977517106549365,17,0.0166177908113392,51,0.0498533724340176,0,0,0,0,3,0.00293255131964809,34,0.0332355816226784,0,0,15,0.0146627565982405,22,0.021505376344086,287.366,0.280905180840665,93.366,0.091266862170088,63,0.06158357771261,8.366,0.00817790811339198,37,0.0361681329423265,37,0.0361681329423265,9,0.00879765395894428,8,0.00782013685239492,49,0.0478983382209189,2,0.00195503421309873,0,0,0,0,0,0,0,0,0,0,3,0.00293255131964809,34,0.0332355816226784,15,0.0146627565982405,22,0.021505376344086,0,0,250.366,0.244737047898338,105,0.102639296187683,37,0.0361681329423265,0,0,15,0.0146627565982405
"VENDELSÖ SÅGEN",202241,2022-10-15,994,452.754,0.455486921529175,120.754,0.121482897384306,112,0.112676056338028,19,0.0191146881287726,33,0.0331991951710262,3,0.00301810865191147,0,0,4,0.00402414486921529,88,0.0885311871227364,0,0,10,0.0100603621730382,63,0.0633802816901408,382.754,0.385064386317907,162.754,0.163736418511066,70,0.0704225352112676,8.754,0.00880684104627767,42,0.0422535211267606,42,0.0422535211267606,12,0.0120724346076459,7,0.00704225352112676,31,0.0311871227364185,2,0.00201207243460765,3,0.00301810865191147,0,0,0,0,0,0,0,0,46,0.0462776659959759,46,0.0462776659959759,10,0.0100603621730382,63,0.0633802816901408,0,0,340.754,0.342810865191147,126,0.126760563380282,42,0.0422535211267606,0,0,10,0.0100603621730382
"VENDELSÖ SÅGEN",202241,2022-10-14,1212,586.349,0.483786303630363,129.349,0.106723597359736,124,0.102310231023102,14,0.0115511551155116,42,0.0346534653465347,1,0.000825082508250825,0,0,4,0.0033003300330033,145,0.11963696369637,0,0,9,0.00742574257425743,118,0.0973597359735974,519.349,0.428505775577558,261.349,0.215634488448845,67,0.0552805280528053,5.349,0.00441336633663366,57,0.047029702970297,57,0.047029702970297,10,0.00825082508250825,4,0.0033003300330033,38,0.0313531353135314,4,0.0033003300330033,1,0.000825082508250825,0,0,0,0,0,0,0,0,92,0.0759075907590759,57,0.047029702970297,9,0.00742574257425743,112,0.0924092409240924,6,0.00495049504950495,462.349,0.381476072607261,129,0.106435643564356,57,0.047029702970297,0,0,15,0.0123762376237624
"VENDELSÖ SÅGEN",202241,2022-10-13,1072,468.669,0.437191231343284,117.669,0.109765858208955,111,0.103544776119403,22,0.0205223880597015,37,0.0345149253731343,1,0.000932835820895522,0,0,7,0.00652985074626866,140,0.130597014925373,0,0,17,0.0158582089552239,16,0.0149253731343284,405.669,0.378422574626866,169.669,0.158273320895522,63,0.0587686567164179,6.669,0.00622108208955224,48,0.0447761194029851,48,0.0447761194029851,12,0.0111940298507463,10,0.00932835820895522,34,0.0317164179104478,3,0.00279850746268657,1,0.000932835820895522,0,0,0,0,0,0,0,0,99,0.0923507462686567,48,0.0447761194029851,17,0.0158582089552239,15,0.0139925373134328,1,0.000932835820895522,357.669,0.333646455223881,122,0.113805970149254,48,0.0447761194029851,0,0,18,0.0167910447761194
"VENDELSÖ SÅGEN",202241,2022-10-12,1044,482.455,0.462121647509579,135.455,0.129746168582376,125,0.119731800766284,30,0.028735632183908,26,0.024904214559387,0,0,0,0,6,0.00574712643678161,116,0.111111111111111,0,0,19,0.0181992337164751,25,0.0239463601532567,409.455,0.392198275862069,171.455,0.164228927203065,73,0.0699233716475096,10.455,0.010014367816092,52,0.0498084291187739,52,0.0498084291187739,18,0.0172413793103448,12,0.0114942528735632,24,0.0229885057471264,2,0.00191570881226054,0,0,0,0,0,0,0,0,0,0,93,0.0890804597701149,29,0.0277777777777778,19,0.0181992337164751,24,0.0229885057471264,1,0.000957854406130268,357.455,0.342389846743295,114,0.109195402298851,52,0.0498084291187739,0,0,20,0.0191570881226054
"VENDELSÖ SÅGEN",202241,2022-10-11,969,541.567,0.558892672858617,155.567,0.160543859649123,134,0.13828689370485,29,0.0299277605779154,64,0.066047471620227,0,0,0,0,5,0.00515995872033024,103,0.106295149638803,0,0,31,0.0319917440660475,20,0.0206398348813209,471.567,0.486653250773994,202.567,0.209047471620227,70,0.0722394220846233,21.567,0.0222569659442724,64,0.066047471620227,64,0.066047471620227,15,0.0154798761609907,14,0.0144478844169247,63,0.065015479876161,1,0.00103199174406605,0,0,0,0,0,0,0,0,0,0,83,0.0856553147574819,25,0.0257997936016512,31,0.0319917440660475,19,0.0196078431372549,1,0.00103199174406605,407.567,0.420605779153767,109,0.112487100103199,64,0.066047471620227,0,0,32,0.0330237358101135
"VENDELSÖ SÅGEN",202241,2022-10-10,1038,572.254,0.551304431599229,167.254,0.161131021194605,158,0.152215799614644,23,0.0221579961464355,29,0.0279383429672447,0,0,0,0,7,0.00674373795761079,143,0.13776493256262,0,0,26,0.0250481695568401,19,0.0183044315992293,478.254,0.460745664739884,179.254,0.172691714836224,94,0.0905587668593449,9.254,0.00891522157996146,64,0.0616570327552987,64,0.0616570327552987,15,0.0144508670520231,8,0.00770712909441233,29,0.0279383429672447,0,0,0,0,0,0,0,0,0,0,0,0,111,0.106936416184971,39,0.0375722543352601,26,0.0250481695568401,15,0.0144508670520231,4,0.00385356454720617,414.254,0.399088631984586,141,0.135838150289017,64,0.0616570327552987,0,0,30,0.0289017341040462
"VENDELSÖ SÅGEN",202233,2022-08-21,1077,96,0.0891364902506964,24,0.0222841225626741,24,0.0222841225626741,2,0.00185701021355617,8,0.0074280408542247,0,0,0,0,3,0.00278551532033426,14,0.0129990714948932,0,0,3,0.00278551532033426,18,0.0167130919220056,84,0.0779944289693593,33,0.0306406685236769,12,0.011142061281337,0,0,12,0.011142061281337,12,0.011142061281337,2,0.00185701021355617,0,0,8,0.0074280408542247,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00464252553389044,12,0.011142061281337,3,0.00278551532033426,18,0.0167130919220056,0,0,72,0.0668523676880223,24,0.0222841225626741,12,0.011142061281337,0,0,3,0.00278551532033426
"VENDELSÖ SÅGEN",202233,2022-08-20,1203,110,0.0914380714879468,16,0.0133000831255195,16,0.0133000831255195,2,0.00166251039068994,11,0.00914380714879468,0,0,0,0,0,0,18,0.0149625935162095,0,0,7,0.0058187863674148,40,0.0332502078137988,102,0.084788029925187,60,0.0498753117206983,8,0.00665004156275977,0,0,8,0.00665004156275977,8,0.00665004156275977,2,0.00166251039068994,0,0,11,0.00914380714879468,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0058187863674148,11,0.00914380714879468,7,0.0058187863674148,40,0.0332502078137988,0,0,94,0.0781379883624273,19,0.0157938487115544,8,0.00665004156275977,0,0,7,0.0058187863674148
"VENDELSÖ SÅGEN",202233,2022-08-19,1345,130,0.0966542750929368,10,0.00743494423791822,10,0.00743494423791822,1,0.000743494423791822,13,0.00966542750929368,0,0,0,0,1,0.000743494423791822,23,0.0171003717472119,0,0,10,0.00743494423791822,62,0.0460966542750929,124,0.0921933085501859,78,0.0579925650557621,6,0.00446096654275093,0,0,4,0.00297397769516729,4,0.00297397769516729,1,0.000743494423791822,0,0,13,0.00966542750929368,0,0,0,0,0,0,0,0,0,0,0,0,3,0.00223048327137546,21,0.0156133828996283,10,0.00743494423791822,61,0.0453531598513011,1,0.000743494423791822,120,0.0892193308550186,27,0.0200743494423792,4,0.00297397769516729,0,0,11,0.00817843866171004
